, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC
7/11/2012 18:35,26.35,25.86,25.71,24.8,21.4,18.28,15.32,11.28
7/11/2012 18:40,26.35,25.86,25.71,24.68,21.53,18.28,15.26,11.28
7/11/2012 18:45,26.35,25.86,25.71,24.61,21.53,18.22,15.13,11.22
7/11/2012 18:50,26.35,25.86,25.71,24.61,21.59,18.16,15.13,11.28
7/11/2012 18:55,26.35,25.86,25.71,24.55,21.59,18.03,15.13,11.22
7/11/2012 19:00,26.35,25.86,25.71,24.49,21.59,18.03,15.2,11.22
7/11/2012 19:05,26.35,25.86,25.71,24.49,21.47,18.09,15.26,11.15
7/11/2012 19:10,26.35,25.86,25.71,24.49,21.34,18.09,15.32,11.15
7/11/2012 19:15,26.35,25.86,25.71,24.55,21.34,18.09,15.32,11.02
7/11/2012 19:20,26.35,25.86,25.71,24.55,21.34,18.09,15.26,11.02
7/11/2012 19:25,26.35,25.86,25.71,24.61,21.4,18.09,15.2,11.09
7/11/2012 19:30,26.42,25.86,25.46,24.68,21.4,18.09,15.26,11.09
7/11/2012 19:35,26.42,25.86,25.46,24.74,21.4,18.16,15.32,11.02
7/11/2012 19:40,26.42,25.86,25.71,24.74,21.4,18.16,15.38,11.02
7/11/2012 19:45,26.35,25.86,25.71,24.74,21.34,18.16,15.32,11.02
7/11/2012 19:50,26.42,25.86,25.71,24.74,21.28,18.22,15.32,11.02
7/11/2012 19:55,26.35,25.86,25.71,24.68,21.28,18.35,15.32,11.09
7/11/2012 20:00,26.35,25.86,25.65,24.61,21.28,18.42,15.32,11.02
7/11/2012 20:05,26.35,25.86,25.77,24.55,21.34,18.35,15.26,11.02
7/11/2012 20:10,26.35,25.86,25.71,24.55,21.34,18.28,15.26,11.02
7/11/2012 20:15,26.35,25.86,25.77,24.55,21.34,18.22,15.26,11.02
7/11/2012 20:20,26.35,25.86,25.71,24.55,21.34,18.16,15.26,11.02
7/11/2012 20:25,26.35,25.86,25.71,24.61,21.34,18.09,15.32,10.96
7/11/2012 20:30,26.35,25.86,25.71,24.61,21.34,18.09,15.38,11.02
7/11/2012 20:35,26.35,25.86,25.71,24.61,21.34,18.09,15.38,11.02
7/11/2012 20:40,26.35,25.86,25.65,24.61,21.4,18.09,15.38,11.15
7/11/2012 20:45,26.35,25.86,25.65,24.68,21.4,18.16,15.32,11.15
7/11/2012 20:50,26.35,25.86,25.58,24.74,21.47,18.22,15.26,11.22
7/11/2012 20:55,26.35,25.86,25.58,24.74,21.53,18.28,15.2,11.22
7/11/2012 21:00,26.35,25.86,25.58,24.74,21.53,18.28,15.2,11.28
7/11/2012 21:05,26.35,25.86,25.65,24.68,21.47,18.22,15.26,11.28
7/11/2012 21:10,26.35,25.86,25.65,24.68,21.4,18.22,15.26,11.28
7/11/2012 21:15,26.35,25.86,25.65,24.61,21.34,18.22,15.32,11.28
7/11/2012 21:20,26.35,25.86,25.65,24.61,21.28,18.22,15.32,11.22
7/11/2012 21:25,26.35,25.86,25.65,24.61,21.28,18.28,15.26,11.22
7/11/2012 21:30,26.35,25.86,25.65,24.55,21.34,18.35,15.26,11.15
7/11/2012 21:35,26.35,25.86,25.65,24.55,21.34,18.35,15.26,11.09
7/11/2012 21:40,26.35,25.86,25.71,24.55,21.34,18.35,15.26,11.09
7/11/2012 21:45,26.42,25.86,25.71,24.61,21.34,18.28,15.32,11.09
7/11/2012 21:50,26.42,25.86,25.65,24.55,21.28,18.22,15.32,11.09
7/11/2012 21:55,26.42,25.86,25.65,24.61,21.28,18.22,15.32,11.09
7/11/2012 22:00,26.42,25.86,25.71,24.61,21.34,18.09,15.32,11.09
7/11/2012 22:05,26.35,25.86,25.71,24.61,21.4,18.03,15.32,11.09
7/11/2012 22:10,26.35,25.86,25.71,24.61,21.34,18.09,15.32,11.09
7/11/2012 22:15,26.35,25.86,25.71,24.61,21.34,18.09,15.32,11.02
7/11/2012 22:20,26.35,25.86,25.71,24.61,21.4,18.09,15.26,11.02
7/11/2012 22:25,26.35,25.86,25.65,24.61,21.4,18.16,15.26,10.96
7/11/2012 22:30,26.35,25.86,25.65,24.61,21.4,18.16,15.32,11.02
7/11/2012 22:35,26.35,25.8,25.65,24.68,21.4,18.16,15.32,11.09
7/11/2012 22:40,26.35,25.8,25.65,24.68,21.4,18.16,15.38,11.09
7/11/2012 22:45,26.35,25.8,25.71,24.68,21.4,18.09,15.45,11.09
7/11/2012 22:50,26.35,25.8,25.71,24.68,21.34,18.16,15.45,11.09
7/11/2012 22:55,26.35,25.8,25.71,24.68,21.34,18.16,15.45,11.15
7/11/2012 23:00,26.35,25.86,25.71,24.68,21.34,18.22,15.38,11.15
7/11/2012 23:05,26.35,25.8,25.71,24.61,21.4,18.28,15.32,11.09
7/11/2012 23:10,26.35,25.86,25.71,24.61,21.4,18.28,15.26,11.15
7/11/2012 23:15,26.35,25.8,25.71,24.55,21.4,18.22,15.32,11.09
7/11/2012 23:20,26.42,25.8,25.71,24.55,21.4,18.22,15.38,11.15
7/11/2012 23:25,26.42,25.86,25.71,24.55,21.4,18.22,15.38,11.15
7/11/2012 23:30,26.42,25.86,25.71,24.61,21.34,18.16,15.38,11.22
7/11/2012 23:35,26.42,25.86,25.71,24.61,21.34,18.16,15.38,11.15
7/11/2012 23:40,26.42,25.86,25.71,24.61,21.28,18.16,15.32,11.15
7/11/2012 23:45,26.42,25.86,25.71,24.61,21.28,18.16,15.32,11.15
7/11/2012 23:50,26.35,25.86,25.71,24.61,21.34,18.16,15.26,11.15
7/11/2012 23:55,26.35,25.86,25.65,24.61,21.4,18.16,15.26,11.15
7/12/2012 0:00,26.35,25.86,25.71,24.61,21.47,18.16,15.26,11.09
7/12/2012 0:05,26.35,25.8,25.71,24.61,21.47,18.16,15.2,11.15
7/12/2012 0:10,26.35,25.86,25.71,24.61,21.4,18.28,15.26,11.15
7/12/2012 0:15,26.35,25.8,25.71,24.61,21.4,18.28,15.26,11.15
7/12/2012 0:20,26.35,25.86,25.71,24.61,21.34,18.28,15.26,11.15
7/12/2012 0:25,26.35,25.86,25.71,24.61,21.34,18.28,15.26,11.09
7/12/2012 0:30,26.35,25.86,25.71,24.61,21.4,18.22,15.26,11.15
7/12/2012 0:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 0:40,26.35,25.86,25.71,24.55,21.34,18.16,15.32,11.09
7/12/2012 0:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 0:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 0:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:10,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 1:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:10,26.35,25.8,25.71,24.55,21.4,18.22,15.26,11.15
7/12/2012 2:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 2:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 3:00,26.23,25.86,25.83,24.61,21.34,18.28,15.38,11.09
7/12/2012 3:05,26.17,25.86,25.83,24.55,21.34,18.22,15.32,11.02
7/12/2012 3:10,26.17,25.8,25.83,24.55,21.34,18.22,15.38,11.02
7/12/2012 3:15,26.17,25.8,25.77,24.55,21.34,18.22,15.38,11.02
7/12/2012 3:20,26.1,25.8,25.77,24.55,21.34,18.22,15.38,11.09
7/12/2012 3:25,26.1,25.8,25.83,24.55,21.28,18.22,15.32,11.09
7/12/2012 3:30,26.1,25.8,25.77,24.61,21.34,18.22,15.26,11.09
7/12/2012 3:35,26.1,25.8,25.77,24.61,21.28,18.28,15.26,11.09
7/12/2012 3:40,26.04,25.8,25.77,24.68,21.28,18.28,15.2,11.09
7/12/2012 3:45,26.04,25.8,25.77,24.61,21.28,18.28,15.26,11.15
7/12/2012 3:50,26.1,25.86,25.83,24.68,21.34,18.28,15.26,11.15
7/12/2012 3:55,25.98,25.8,25.77,24.61,21.34,18.22,15.2,11.15
7/12/2012 4:00,25.98,25.86,25.77,24.61,21.34,18.22,15.2,11.15
7/12/2012 4:05,25.98,25.86,25.77,24.61,21.4,18.16,15.26,11.15
7/12/2012 4:10,25.98,25.86,25.77,24.61,21.4,18.09,15.26,11.15
7/12/2012 4:15,25.98,25.86,25.77,24.55,21.47,18.09,15.26,11.15
7/12/2012 4:20,25.92,25.86,25.77,24.55,21.47,18.03,15.32,11.15
7/12/2012 4:25,25.98,25.8,25.77,24.55,21.47,18.03,15.32,11.15
7/12/2012 4:30,25.92,25.8,25.77,24.61,21.47,18.09,15.32,11.09
7/12/2012 4:35,25.92,25.8,25.77,24.55,21.4,18.16,15.32,11.09
7/12/2012 4:40,25.92,25.8,25.77,24.55,21.4,18.16,15.32,11.09
7/12/2012 4:45,25.92,25.8,25.77,24.55,21.4,18.16,15.32,11.09
7/12/2012 4:50,25.92,25.8,25.77,24.55,21.4,18.16,15.32,11.09
7/12/2012 4:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:10,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 5:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:10,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 6:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:10,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 7:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:10,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 8:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:10,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 9:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:10,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 10:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:10,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:15,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:20,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:30,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:35,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:40,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:45,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:50,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 11:55,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 12:00,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7/12/2012 12:05,25.92,25.68,25.83,24.8,21.53,18.16,15.38,11.15
7/12/2012 12:10,25.92,25.68,25.83,24.8,21.47,18.22,15.32,11.15
7/12/2012 12:15,25.92,25.68,25.83,24.86,21.4,18.22,15.26,11.15
7/12/2012 12:20,25.98,25.68,25.9,24.8,21.4,18.28,15.26,11.15
7/12/2012 12:25,25.98,25.74,25.9,24.8,21.34,18.28,15.32,11.09
7/12/2012 12:30,26.04,25.74,25.9,24.8,21.34,18.35,15.32,11.09
7/12/2012 12:35,26.04,25.74,25.9,24.74,21.34,18.35,15.38,11.09
7/12/2012 12:40,26.04,25.74,25.9,24.74,21.34,18.35,15.38,11.15
7/12/2012 12:45,26.04,25.74,25.9,24.8,21.28,18.35,15.32,11.15
7/12/2012 12:50,26.1,25.74,25.9,24.8,21.28,18.42,15.26,11.15
7/12/2012 12:55,26.1,25.74,25.9,24.68,21.34,18.42,15.26,11.22
7/12/2012 13:00,26.1,25.74,25.96,24.68,21.47,18.35,15.26,11.15
7/12/2012 13:05,26.1,25.74,25.9,24.61,21.59,18.22,15.13,11.15
7/12/2012 13:10,26.1,25.74,25.96,24.61,21.65,18.09,15.2,11.15
7/12/2012 13:15,26.1,25.74,25.96,24.61,21.65,18.09,15.32,11.15
7/12/2012 13:20,26.1,25.8,25.96,24.61,21.53,18.16,15.32,11.09
7/12/2012 13:25,26.17,25.8,25.96,24.61,21.47,18.28,15.32,11.02
7/12/2012 13:30,26.17,25.8,25.9,24.61,21.4,18.28,15.38,11.09
7/12/2012 13:35,26.17,25.8,25.9,24.68,21.34,18.16,15.38,11.15
7/12/2012 13:40,26.17,25.8,25.96,24.68,21.4,18.09,15.32,11.09
7/12/2012 13:45,26.17,25.86,25.9,24.68,21.47,18.09,15.45,11.09
7/12/2012 13:50,26.17,25.86,25.96,24.68,21.53,18.09,15.57,11.09
7/12/2012 13:55,26.23,25.86,25.96,24.74,21.59,18.09,15.57,11.15
7/12/2012 14:00,26.23,25.86,25.96,24.74,21.59,18.09,15.51,11.22
7/12/2012 14:05,26.23,25.86,25.96,24.68,21.59,18.22,15.32,11.22
7/12/2012 14:10,26.23,25.86,25.96,24.74,21.59,18.22,15.32,11.28
7/12/2012 14:15,26.23,25.8,25.96,24.74,21.59,18.22,15.32,11.22
7/12/2012 14:20,26.23,25.86,25.96,24.8,21.53,18.22,15.32,11.15
7/12/2012 14:25,26.29,25.86,26.02,24.8,21.53,18.22,15.38,11.09
7/12/2012 14:30,26.29,25.86,25.96,24.86,21.59,18.22,15.32,11.15
